Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1783835960,139958377,22,1,0,0,0,0.25
1783835961,139920430,31,0,0,0,0,0.5
1783835962,139921298,30,0,0,0,0,0.25
1783835963,139949093,17,0,0,0,0,0.75
1783835964,139921740,17,1,1,0,0,0.25
1783835965,139923535,22,0,0,0,0,0.75
1783835966,139918683,27,1,1,0,0,0.5
1783835967,139917942,34,0,0,0,0,0.5
1783835968,139935257,23,2,1,0,0,0.5
1783835969,139922942,21,0,0,0,0,0.5
1783835970,139962202,26,1,1,0,0,0.5
1783835971,139923093,15,1,0,0,0,0.75
1783835972,139924057,27,0,0,0,0,1
1783835973,139925393,33,0,0,0,0,0.5
1783835974,139924376,25,1,1,0,0,0.25
1783835975,139968990,33,0,0,0,0,0.25
1783835976,139923864,32,1,1,0,0,0.75
1783835977,139955441,15,0,0,0,0,0
1783835978,139924982,24,1,1,0,0,0.75
1783835979,139925171,29,1,1,0,0,0.25
1783835980,139932805,26,0,1,0,0,0.75
1783835981,139950828,30,1,0,0,0,0.25
1783835982,139923482,30,1,1,0,0,0.5
1783835983,139927302,26,0,0,0,0,0.75
1783835984,139922048,33,0,0,0,0,0.5
1783835985,139963758,31,1,1,0,0,1
1783835986,139922784,32,1,1,0,0,0.75
1783835987,139923383,28,0,0,0,0,0.5
1783835988,139922909,20,0,0,0,0,0.25
1783835989,139924027,24,4,3,0,0,1.24
1783835990,139929258,26,0,0,0,0,0
1783835991,139921321,21,1,1,0,0,0.5
1783835992,139927219,17,1,1,0,0,0.25
1783835993,139921450,29,0,0,0,0,0.5
1783835994,139924663,22,0,0,0,0,0.75
1783835995,139926358,25,0,0,0,0,0.75
1783835996,139925757,24,0,0,0,0,0.25
1783835997,139922490,19,0,0,0,0,0.5
1783835998,139923019,23,1,1,0,0,0.25
1783835999,139922474,30,0,0,0,0,0.75
1783836000,139953985,29,1,1,0,0,0.25
1783836001,139928108,41,0,0,0,0,0.75
1783836002,139921991,69,0,0,0,0,1.25
1783836003,139923337,50,0,0,0,0,0.25
1783836004,139923905,48,0,0,0,0,1.24
1783836005,139915529,91,0,0,0,0,0.75
1783836006,139957246,101,0,0,0,0,1.01
1783836007,139923705,95,0,0,0,0,1.5
1783836008,139923496,60,2,2,0,0,1.49
1783836009,139923566,76,0,0,0,0,1.25
1783836010,139922581,70,0,0,0,0,1.25
1783836011,139922893,62,0,0,0,0,1
1783836012,139921575,68,1,2,0,0,1
1783836013,139923535,66,0,0,0,0,0.75
1783836014,139922088,55,0,0,0,0,1
1783836015,139923475,58,0,0,0,0,0.75
1783836016,139922158,71,0,0,0,0,0.75
1783836017,139921712,63,0,0,0,0,1.99
1783836018,139925063,63,0,0,0,0,1
1783836019,140001339,64,1,1,0,0,1
1783836020,139921210,50,0,0,0,0,0.5
1783836021,139921580,41,0,0,0,0,0.5
1783836022,139932580,57,0,0,0,0,1
1783836023,139950729,53,1,1,0,0,1
1783836024,139924360,55,0,0,0,0,1
1783836025,139923657,53,2,2,0,0,1
1783836026,139919788,40,2,2,0,0,1.24
1783836027,139919012,40,0,0,0,0,0.5
1783836028,139924440,46,0,0,0,0,0.75
1783836029,139917610,48,1,2,0,0,0.75
1783836030,139922538,35,3,3,0,0,1.25
1783836031,139922986,41,0,0,0,0,1.24
1783836032,139923341,41,0,0,0,0,0.25
1783836033,139922289,46,1,1,0,0,0.25
1783836034,139920053,46,0,0,0,0,0.75
1783836035,139923372,49,2,3,0,0,0.5
1783836036,139923173,38,0,0,0,0,0.75
1783836037,139918289,31,0,0,0,0,1
1783836038,139922535,30,0,0,0,0,0.75
1783836039,139922763,34,0,0,0,0,0.5
1783836040,139920825,36,0,0,0,0,0.75
1783836041,139919942,48,0,0,0,0,1
1783836042,139918893,39,0,0,0,0,0.75
1783836043,139923159,40,0,1,0,0,0.75
1783836044,139923314,51,1,0,0,0,0.5
1783836045,139921896,41,0,0,0,0,0.75
1783836046,139923200,35,0,1,0,0,1
1783836047,139921560,33,1,1,0,0,0.25
1783836048,139922495,37,0,0,0,0,1
1783836049,139921114,47,0,0,0,0,0.75
1783836050,139919457,29,0,0,0,0,0.25
1783836051,139922781,38,0,0,0,0,0.5
1783836052,139923143,38,0,0,0,0,0.5
1783836053,139920005,25,0,0,0,0,0.5
1783836054,139922404,28,0,0,0,0,0.75
1783836055,139948673,40,0,0,0,0,1
1783836056,139923629,39,1,1,0,0,0.75
